-3.141593|-0.466942| - |0.101321
-2.988344|-0.502931| - |0.111980
-2.835096|-0.544931| - |0.124413
-2.681847|-0.594584| - |0.139037
-2.528599|-0.654194| - |0.156401
-2.375351|-0.727087| - |0.177233
-2.222102|-0.818262| - |0.202522
-2.068854|-0.935582| - |0.233636
-1.915605|-1.092174| - |0.272513
-1.762357|-1.311722| - |0.321968
-1.609108|-1.641744| - |0.386215
-1.455860|-2.193656| - |0.471803
-1.302612|-3.304566|0.306197|0.589346
-1.149363|-6.695091|0.431026|0.756982
-0.996115|257.383285|0.486699|1.007816
-0.842866|6.364008|0.499600|1.407611
-0.689618|3.221835|0.477534|2.102727
-0.536369|2.156890|0.422916|3.475937
-0.383121|1.621064|0.336200|6.812836
-0.229873|1.298487|0.218584|18.924546
-0.076624|1.082983|0.076178|170.320910
0.076624|0.928829|0.076178|170.320910
0.229873|0.813092|0.218584|18.924546
0.383121|0.723003|0.336200|6.812836
0.536369|0.650885|0.422916|3.475937
0.689618|0.591850|0.477534|2.102727
0.842866|0.542633|0.499600|1.407611
0.996115|0.500973|0.486699|1.007816
1.149363|0.465254|0.431026|0.756982
1.302612|0.434289|0.306197|0.589346
1.455860|0.407189| - |0.471803
1.609108|0.383273| - |0.386215
1.762357|0.362010| - |0.321968
1.915605|0.342982| - |0.272513
2.068854|0.325855| - |0.233636
2.222102|0.310356| - |0.202522
2.375351|0.296266| - |0.177233
2.528599|0.283399| - |0.156401
2.681847|0.271603| - |0.139037
2.835096|0.260750| - |0.124413
2.988344|0.250731| - |0.111980
3.141593|0.241453| - |0.101321
